The Next Episode - Instrumental Version, 0.872 0.942 0.736 -3.313
main actor, 0.44 0.496 0.416 -8.487
Taray Taray, 0.657 0.553 0.801 -8.093
Sum 2 Prove, 0.822 0.552 0.416 -7.57
Time Machine, 0.556 0.661 0.668 -5.052
Blank, 0.304 0.682 0.0795 -6.699
Stellar Nursery, 0.161 0.63 0.0407 -10.063
Have a nice day, 0.851 0.567 0.578 -5.54
Star Trails, 0.563 0.893 0.397 -4.358
W.T.P., 0.805 0.927 0.746 -2.339
Dreams, 0.551 0.645 0.508 -13.093
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee,  Lil Wayne  Offset)" 0.0 0.5
Ashirbad - Abc, 0.251 0.872 0.467 -5.691
"Oxygene,  Pt. 4" 0.432 0.551 7
Windy Hill, 0.585 0.381 0.243 -12.731
Night Changes, 0.672 0.52 0.37 -7.747
Without Me, 0.919 0.657 0.659 -2.823
No Sequel, 0.505 0.962 0.42 -4.255
21 GIRLS, 0.699 0.746 0.374 -6.175
Purnata, 0.576 0.702 0.396 -7.441
Heaven, 0.633 0.318 0.222 -14.465
The Hardest Part (feat. Leon Bridges), 0.726 0.53 0.465 -7.072
By My Side, 0.497 0.546 0.102 -10.845
Home Body, 0.66 0.609 0.36 -6.616
My Name Is, 0.882 0.678 0.809 -6.165
Nebular Temple, 0.397 0.937 0.0397 -7.221
Ekhono, 0.608 0.35 0.539 -12.571
Spend Some Time, 0.836 0.419 0.257 -13.102
"Lose Yourself - From ""8 Mile"" Soundtrack", 0.701 0.728 0.0591 -4.554
Birden (Instrumental), 0.507 0.255 0.191 -21.227
The Monster, 0.784 0.85 0.567 -3.679
月の大きさ, 0.555 0.941 0.804 -3.294
Bam Bam (feat. Ed Sheeran), 0.756 0.697 0.956 -6.377
Freaky Friday (feat. Chris Brown), 0.755 0.599 0.755 -5.042
The Final Countdown, 0.529 0.843 0.188 -6.908
SB-02, 0.424 0.728 0.327 -5.046
Amongst Vermin, 0.242 0.98 0.0918 -2.409
Baksho Bondi, 0.424 0.976 0.283 -5.774
High and Dry, 0.419 0.383 0.35 -11.782
Always Remember Us This Way, 0.552 0.507 0.306 -5.967
Certainty, 0.482 0.809 0.306 -8.932
The Other Ship, 0.289 0.0543 0.207 -21.941
Floating (feat. Khalid), 0.66 0.447 0.578 -9.026
Blight, 0.47 0.701 0.283 -6.984
Tui Bolle, 0.544 0.377 0.418 -12.173
Too Much To Ask, 0.443 0.533 0.201 -6.548
Shuvro Probhat, 0.423 0.641 0.359 -5.858
COLORS, 0.458 0.877 0.386 -4.229
When We Were Kids, 0.758 0.367 0.186 -8.387
Ariamarufeiku, 0.433 0.971 0.379 -2.187
YOSEMITE, 0.785 0.554 0.144 -6.571
O Je Mane Na Mana, 0.293 0.277 0.122 -10.996
Heartless (feat. Morgan Wallen), 0.765 0.556 0.274 -6.417
We're Finally Landing, 0.481 0.546 0.072 -13.266
One Right Now (with The Weeknd), 0.687 0.781 0.688 -4.806
The Cannibal Gods, 0.264 0.984 0.0388 -2.023
Ayy Macarena, 0.816 0.629 0.714 -5.568
Mascara, 0.472 0.446 0.0456 -7.416
Like Toy Soldiers, 0.655 0.762 0.368 -3.427
Sexy Villain, 0.631 0.634 0.479 -6.786
Noise, 0.432 0.937 0.311 -4.134
Rich Nigga Shit (feat. Young Thug), 0.825 0.733 0.62 -5.625
Bring Me To Life, 0.312 0.946 0.297 -3.209
Bellbottoms, 0.311 0.882 0.435 -3.26
Your Shampoo Scent In The Flowers - Ballad Version, 0.549 0.348 0.21 -8.251
More Than Friends, 0.515 0.869 0.452 -4.732
