track_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Açaí Bowl,Dominic Fike,0.687,0.439,2,-8.347,1,0.0426,0.502,0.000367,0.109,0.352,91.972,audio_features,5M3KOe4FGUidvRDUbFFdFk,spotify:track:5M3KOe4FGUidvRDUbFFdFk,https://api.spotify.com/v1/tracks/5M3KOe4FGUidvRDUbFFdFk,https://api.spotify.com/v1/audio-analysis/5M3KOe4FGUidvRDUbFFdFk,177400,4
Streetcar,Daniel Caesar,0.41,0.298,3,-11.796,1,0.0473,0.721,0,0.158,0.142,109.651,audio_features,7Cu2COdH93MnuireuKNiS3,spotify:track:7Cu2COdH93MnuireuKNiS3,https://api.spotify.com/v1/tracks/7Cu2COdH93MnuireuKNiS3,https://api.spotify.com/v1/audio-analysis/7Cu2COdH93MnuireuKNiS3,246972,3
Supermodel,SZA,0.613,0.442,6,-8.874,1,0.288,0.651,0,0.26,0.252,119.737,audio_features,5wTVNpi5WDByxBgKgUE6MU,spotify:track:5wTVNpi5WDByxBgKgUE6MU,https://api.spotify.com/v1/tracks/5wTVNpi5WDByxBgKgUE6MU,https://api.spotify.com/v1/audio-analysis/5wTVNpi5WDByxBgKgUE6MU,181120,5
Insecure,"Jazmine Sullivan, Bryson Tiller",0.512,0.511,7,-4.412,0,0.324,0.537,0,0.115,0.651,88.816,audio_features,360NCp4XoQ0sFi5jgu5Ww7,spotify:track:360NCp4XoQ0sFi5jgu5Ww7,https://api.spotify.com/v1/tracks/360NCp4XoQ0sFi5jgu5Ww7,https://api.spotify.com/v1/audio-analysis/360NCp4XoQ0sFi5jgu5Ww7,218073,4
Sensitive,Dreamer Isioma,0.601,0.649,7,-6.979,1,0.133,0.166,3.35E-05,0.165,0.351,89.73,audio_features,0oHEteATZnAZuA9dl1dXF3,spotify:track:0oHEteATZnAZuA9dl1dXF3,https://api.spotify.com/v1/tracks/0oHEteATZnAZuA9dl1dXF3,https://api.spotify.com/v1/audio-analysis/0oHEteATZnAZuA9dl1dXF3,174720,4
Babydoll,Dominic Fike,0.762,0.604,7,-5.296,0,0.11,0.114,0,0.0271,0.847,168.007,audio_features,7yNf9YjeO5JXUE3JEBgnYc,spotify:track:7yNf9YjeO5JXUE3JEBgnYc,https://api.spotify.com/v1/tracks/7yNf9YjeO5JXUE3JEBgnYc,https://api.spotify.com/v1/audio-analysis/7yNf9YjeO5JXUE3JEBgnYc,97960,4
megan fox,kezia,0.798,0.428,4,-10.125,0,0.0636,0.611,6.46E-06,0.423,0.58,109.964,audio_features,1S59E0qKUoPdVneBH4nelg,spotify:track:1S59E0qKUoPdVneBH4nelg,https://api.spotify.com/v1/tracks/1S59E0qKUoPdVneBH4nelg,https://api.spotify.com/v1/audio-analysis/1S59E0qKUoPdVneBH4nelg,149956,4
Northern Lights,Kennie,0.439,0.452,5,-12.41,0,0.0295,0.28,2.77E-05,0.102,0.547,172.173,audio_features,6xVwzzLxPSO3kbjmRQqWp3,spotify:track:6xVwzzLxPSO3kbjmRQqWp3,https://api.spotify.com/v1/tracks/6xVwzzLxPSO3kbjmRQqWp3,https://api.spotify.com/v1/audio-analysis/6xVwzzLxPSO3kbjmRQqWp3,211490,4
Stop Calling The Police On Me,Dreamer Isioma,0.681,0.58,8,-9.496,1,0.0612,0.319,3.77E-05,0.099,0.368,100.506,audio_features,76onGrcd5XE3zUaEtlgZbb,spotify:track:76onGrcd5XE3zUaEtlgZbb,https://api.spotify.com/v1/tracks/76onGrcd5XE3zUaEtlgZbb,https://api.spotify.com/v1/audio-analysis/76onGrcd5XE3zUaEtlgZbb,146866,4
soft boy,Palmer,0.824,0.563,11,-7.205,1,0.0448,0.202,0.000207,0.199,0.578,129.97,audio_features,5ZXrAj7BsNa2ohTGYofVnk,spotify:track:5ZXrAj7BsNa2ohTGYofVnk,https://api.spotify.com/v1/tracks/5ZXrAj7BsNa2ohTGYofVnk,https://api.spotify.com/v1/audio-analysis/5ZXrAj7BsNa2ohTGYofVnk,164308,4
Best Part (feat. H.E.R.),"Daniel Caesar, H.E.R.",0.524,0.364,7,-10.209,1,0.0367,0.808,0,0.1,0.436,75.24,audio_features,1RMJOxR6GRPsBHL8qeC2ux,spotify:track:1RMJOxR6GRPsBHL8qeC2ux,https://api.spotify.com/v1/tracks/1RMJOxR6GRPsBHL8qeC2ux,https://api.spotify.com/v1/audio-analysis/1RMJOxR6GRPsBHL8qeC2ux,209831,4
PARTYGIRL,Ryan Hall,0.576,0.607,1,-9.351,1,0.0909,0.113,0.01,0.125,0.456,74.936,audio_features,6t071ho9CrSHJflD6Cnc0C,spotify:track:6t071ho9CrSHJflD6Cnc0C,https://api.spotify.com/v1/tracks/6t071ho9CrSHJflD6Cnc0C,https://api.spotify.com/v1/audio-analysis/6t071ho9CrSHJflD6Cnc0C,185812,4
Doves In The Wind (feat. Kendrick Lamar),"SZA, Kendrick Lamar",0.693,0.713,10,-4.489,0,0.351,0.343,0,0.102,0.615,137.335,audio_features,593W4qZOwwdqF6YnimJjL6,spotify:track:593W4qZOwwdqF6YnimJjL6,https://api.spotify.com/v1/tracks/593W4qZOwwdqF6YnimJjL6,https://api.spotify.com/v1/audio-analysis/593W4qZOwwdqF6YnimJjL6,266080,4
Supplier!,Crisaunt,0.703,0.508,1,-9.742,1,0.0386,0.141,1.36E-05,0.0776,0.694,90.005,audio_features,7hsUgZdfC4j8sqskVr4DUH,spotify:track:7hsUgZdfC4j8sqskVr4DUH,https://api.spotify.com/v1/tracks/7hsUgZdfC4j8sqskVr4DUH,https://api.spotify.com/v1/audio-analysis/7hsUgZdfC4j8sqskVr4DUH,127485,4
More Than Friends,Aidan Bissett,0.559,0.655,6,-6.792,1,0.051,0.58,0.000155,0.124,0.667,160.016,audio_features,0NF8WXHL65nMVslHdZ1AgU,spotify:track:0NF8WXHL65nMVslHdZ1AgU,https://api.spotify.com/v1/tracks/0NF8WXHL65nMVslHdZ1AgU,https://api.spotify.com/v1/audio-analysis/0NF8WXHL65nMVslHdZ1AgU,183012,4
Greek Tragedy,The Wombats,0.515,0.869,11,-4.732,1,0.0672,0.00257,2.01E-06,0.21,0.452,93.24,audio_features,28C4nmrd7BTu0XbOmaTHZr,spotify:track:28C4nmrd7BTu0XbOmaTHZr,https://api.spotify.com/v1/tracks/28C4nmrd7BTu0XbOmaTHZr,https://api.spotify.com/v1/audio-analysis/28C4nmrd7BTu0XbOmaTHZr,209558,4
Temptation,Raveena,0.734,0.541,7,-8.86,1,0.131,0.454,0.000851,0.132,0.501,140.044,audio_features,0ulct3cASnhGvaGhFIuIyZ,spotify:track:0ulct3cASnhGvaGhFIuIyZ,https://api.spotify.com/v1/tracks/0ulct3cASnhGvaGhFIuIyZ,https://api.spotify.com/v1/audio-analysis/0ulct3cASnhGvaGhFIuIyZ,248738,4
"After The Storm (feat. Tyler, The Creator & Bootsy Collins)","Kali Uchis, Tyler, The Creator, Bootsy Collins",0.702,0.659,4,-6.766,0,0.13,0.301,0.00201,0.218,0.843,79.64,audio_features,1otG6j1WHNvl9WgXLWkHTo,spotify:track:1otG6j1WHNvl9WgXLWkHTo,https://api.spotify.com/v1/tracks/1otG6j1WHNvl9WgXLWkHTo,https://api.spotify.com/v1/audio-analysis/1otG6j1WHNvl9WgXLWkHTo,207455,4
Dead To Me,Kali Uchis,0.675,0.761,4,-4.469,0,0.0466,0.432,0,0.102,0.428,119.001,audio_features,6LOZws7T3jqZz78unPgFF9,spotify:track:6LOZws7T3jqZz78unPgFF9,https://api.spotify.com/v1/tracks/6LOZws7T3jqZz78unPgFF9,https://api.spotify.com/v1/audio-analysis/6LOZws7T3jqZz78unPgFF9,199506,4
Moon,"Shawn Thwaites Rebel Quartet, Camilla Covington",0.486,0.342,5,-14.912,0,0.0718,0.8,2.36E-06,0.129,0.271,83.098,audio_features,3yzp2AJUAL7QrYdKe62kSq,spotify:track:3yzp2AJUAL7QrYdKe62kSq,https://api.spotify.com/v1/tracks/3yzp2AJUAL7QrYdKe62kSq,https://api.spotify.com/v1/audio-analysis/3yzp2AJUAL7QrYdKe62kSq,215119,4
Not Allowed,TV Girl,0.67,0.905,1,-6.855,1,0.129,0.669,0.000227,0.349,0.563,104.965,audio_features,0jA4h2SD50Oak4C3Vn905a,spotify:track:0jA4h2SD50Oak4C3Vn905a,https://api.spotify.com/v1/tracks/0jA4h2SD50Oak4C3Vn905a,https://api.spotify.com/v1/audio-analysis/0jA4h2SD50Oak4C3Vn905a,167864,4
Michelle,Sir Chloe,0.366,0.439,4,-5.238,1,0.0298,0.0781,1.92E-05,0.108,0.11,115.94,audio_features,48rZVgAGm0OlbbxjikCpqm,spotify:track:48rZVgAGm0OlbbxjikCpqm,https://api.spotify.com/v1/tracks/48rZVgAGm0OlbbxjikCpqm,https://api.spotify.com/v1/audio-analysis/48rZVgAGm0OlbbxjikCpqm,214088,3
INC.,Dori Valentine,0.654,0.441,10,-6.673,1,0.0248,0.528,0,0.113,0.383,96.009,audio_features,2PhljZgPDX8bpfPHYzlyY2,spotify:track:2PhljZgPDX8bpfPHYzlyY2,https://api.spotify.com/v1/tracks/2PhljZgPDX8bpfPHYzlyY2,https://api.spotify.com/v1/audio-analysis/2PhljZgPDX8bpfPHYzlyY2,226972,4
Clueless,Ellie Williams,0.76,0.447,10,-7.922,1,0.365,0.504,0.00227,0.0959,0.368,96.046,audio_features,5hVcvSRJffS8GcSBHTIaRG,spotify:track:5hVcvSRJffS8GcSBHTIaRG,https://api.spotify.com/v1/tracks/5hVcvSRJffS8GcSBHTIaRG,https://api.spotify.com/v1/audio-analysis/5hVcvSRJffS8GcSBHTIaRG,160000,4
Good Days,SZA,0.436,0.655,1,-8.37,0,0.0583,0.499,8.10E-06,0.688,0.412,121.002,audio_features,3YJJjQPAbDT7mGpX3WtQ9A,spotify:track:3YJJjQPAbDT7mGpX3WtQ9A,https://api.spotify.com/v1/tracks/3YJJjQPAbDT7mGpX3WtQ9A,https://api.spotify.com/v1/audio-analysis/3YJJjQPAbDT7mGpX3WtQ9A,279204,4
Cloud 9,Beach Bunny,0.637,0.929,4,-3.593,1,0.0491,0.00167,2.62E-05,0.344,0.902,80.974,audio_features,6vFsBXYczYsP0H3lgunZOm,spotify:track:6vFsBXYczYsP0H3lgunZOm,https://api.spotify.com/v1/tracks/6vFsBXYczYsP0H3lgunZOm,https://api.spotify.com/v1/audio-analysis/6vFsBXYczYsP0H3lgunZOm,147351,4
telepatía,Kali Uchis,0.653,0.524,11,-9.016,0,0.0502,0.112,0,0.203,0.553,83.97,audio_features,6tDDoYIxWvMLTdKpjFkc1B,spotify:track:6tDDoYIxWvMLTdKpjFkc1B,https://api.spotify.com/v1/tracks/6tDDoYIxWvMLTdKpjFkc1B,https://api.spotify.com/v1/audio-analysis/6tDDoYIxWvMLTdKpjFkc1B,160191,4
"Cheesin’ (with Cautious Clay, Remi Wolf, Still Woozy, Sophie Meiers, Claud, Melanie Faye, & HXNS)","Cautious Clay, Remi Wolf, sophie meiers, Still Woozy, Claud, Melanie Faye, HXNS",0.818,0.623,9,-5.901,0,0.043,0.201,0,0.112,0.968,120.104,audio_features,6lIRYe72fn1pf7TNqfI0ul,spotify:track:6lIRYe72fn1pf7TNqfI0ul,https://api.spotify.com/v1/tracks/6lIRYe72fn1pf7TNqfI0ul,https://api.spotify.com/v1/audio-analysis/6lIRYe72fn1pf7TNqfI0ul,138000,4
The Kiss Of Venus (Dominic Fike),"Paul McCartney, Dominic Fike",0.715,0.374,8,-6.665,1,0.0399,0.627,0,0.11,0.633,89.982,audio_features,28kOGtTZzbfQ8fMmTwjRFq,spotify:track:28kOGtTZzbfQ8fMmTwjRFq,https://api.spotify.com/v1/tracks/28kOGtTZzbfQ8fMmTwjRFq,https://api.spotify.com/v1/audio-analysis/28kOGtTZzbfQ8fMmTwjRFq,143531,4
CAN YOU HEAR THE MOON,Grady,0.343,0.503,6,-6.018,0,0.0623,0.0242,0.00184,0.42,0.5,146.11,audio_features,7pcANiSH8mEKLUIPAxiSDr,spotify:track:7pcANiSH8mEKLUIPAxiSDr,https://api.spotify.com/v1/tracks/7pcANiSH8mEKLUIPAxiSDr,https://api.spotify.com/v1/audio-analysis/7pcANiSH8mEKLUIPAxiSDr,182534,4
Japanese Denim,Daniel Caesar,0.707,0.238,3,-8.818,1,0.0379,0.0905,2.42E-06,0.0842,0.345,124.156,audio_features,1boXOL0ua7N2iCOUVI1p9F,spotify:track:1boXOL0ua7N2iCOUVI1p9F,https://api.spotify.com/v1/tracks/1boXOL0ua7N2iCOUVI1p9F,https://api.spotify.com/v1/audio-analysis/1boXOL0ua7N2iCOUVI1p9F,270847,3
I Don't Mind (feat. Ben Chandler),"Tobias Dray, Ben Chandler",0.614,0.723,6,-7.908,1,0.0528,0.649,0.00411,0.157,0.642,165.055,audio_features,09hLpQRURHahZf6JyprZQ4,spotify:track:09hLpQRURHahZf6JyprZQ4,https://api.spotify.com/v1/tracks/09hLpQRURHahZf6JyprZQ4,https://api.spotify.com/v1/audio-analysis/09hLpQRURHahZf6JyprZQ4,117896,4
CITY OF ANGELS,24kGoldn,0.686,0.541,0,-4.993,0,0.0493,0.042,0,0.0675,0.724,120.082,audio_features,6ap9lSRJ0iLriGLqoJ44cq,spotify:track:6ap9lSRJ0iLriGLqoJ44cq,https://api.spotify.com/v1/tracks/6ap9lSRJ0iLriGLqoJ44cq,https://api.spotify.com/v1/audio-analysis/6ap9lSRJ0iLriGLqoJ44cq,112493,4
Pick Up Your Phone,Hojean,0.855,0.546,0,-5.192,1,0.0364,0.0513,0.000292,0.0725,0.869,94.989,audio_features,5jDpJZ4AV0YVV8o9Ez2U9s,spotify:track:5jDpJZ4AV0YVV8o9Ez2U9s,https://api.spotify.com/v1/tracks/5jDpJZ4AV0YVV8o9Ez2U9s,https://api.spotify.com/v1/audio-analysis/5jDpJZ4AV0YVV8o9Ez2U9s,169413,4
Mr. Loverman,Ricky Montgomery,0.639,0.526,0,-6.697,1,0.0256,0.245,2.43E-05,0.25,0.488,130.033,audio_features,2IVsRhKrx8hlQBOWy4qebo,spotify:track:2IVsRhKrx8hlQBOWy4qebo,https://api.spotify.com/v1/tracks/2IVsRhKrx8hlQBOWy4qebo,https://api.spotify.com/v1/audio-analysis/2IVsRhKrx8hlQBOWy4qebo,216880,3
whiskey,Julian Skiboat,0.921,0.478,11,-7.467,0,0.037,0.576,1.72E-05,0.306,0.692,98.961,audio_features,6ptijxei8gTrFuIob3LyJW,spotify:track:6ptijxei8gTrFuIob3LyJW,https://api.spotify.com/v1/tracks/6ptijxei8gTrFuIob3LyJW,https://api.spotify.com/v1/audio-analysis/6ptijxei8gTrFuIob3LyJW,198879,4
Addiction,Doja Cat,0.775,0.708,7,-6.073,1,0.166,0.00993,0.000537,0.128,0.548,90.005,audio_features,2OAcH9SD8ehxuG0tWNe0cU,spotify:track:2OAcH9SD8ehxuG0tWNe0cU,https://api.spotify.com/v1/tracks/2OAcH9SD8ehxuG0tWNe0cU,https://api.spotify.com/v1/audio-analysis/2OAcH9SD8ehxuG0tWNe0cU,208480,4
